ID,Country,Loan originator,Outstanding principal,Investment platform,Date
0,Bulgaria,EasyCredit,31.26,iuvo,2021-08-31
1,Bulgaria,EasyCredit,16.6,iuvo,2021-08-31
2,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
3,Bulgaria,AccessFinance,21.0,iuvo,2021-08-31
4,Bulgaria,AccessFinance,15.29,iuvo,2021-08-31
5,Bulgaria,AccessFinance,33.89,iuvo,2021-08-31
6,Bulgaria,EasyCredit,29.12,iuvo,2021-08-31
7,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
8,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
9,Bulgaria,AccessFinance,19.99,iuvo,2021-08-31
10,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
11,Bulgaria,AccessFinance,43.61,iuvo,2021-08-31
12,Bulgaria,AccessFinance,25.16,iuvo,2021-08-31
13,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
14,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
15,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
16,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
17,Bulgaria,AccessFinance,45.08,iuvo,2021-08-31
18,Bulgaria,AccessFinance,40.39,iuvo,2021-08-31
19,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
20,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
21,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
22,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
23,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
24,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
25,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
26,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
27,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
28,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
29,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
30,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
31,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
32,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
33,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
34,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
35,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
36,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
37,Bulgaria,AccessFinance,22.73,iuvo,2021-08-31
38,Bulgaria,AccessFinance,40.97,iuvo,2021-08-31
39,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
40,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
41,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
42,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
43,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
44,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
45,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
46,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
47,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
48,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
49,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
50,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
51,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
52,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
53,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
54,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
55,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
56,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
57,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
58,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
59,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
60,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
61,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
62,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
63,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
64,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
65,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
66,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
67,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
68,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
69,Bulgaria,AccessFinance,50.0,iuvo,2021-08-31
70,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
71,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
72,Bulgaria,EasyCredit,28.08,iuvo,2021-08-31
73,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
74,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
75,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
76,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
77,Bulgaria,EasyCredit,40.5665735789,iuvo,2021-08-31
78,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
79,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
80,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
81,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
82,Bulgaria,EasyCredit,50.0,iuvo,2021-08-31
83,Bulgaria,EasyCredit,25.2811841675,iuvo,2021-08-31
84,Bulgaria,EasyCredit,63.47,iuvo,2021-08-31
85,Bulgaria,EasyCredit,100.0,iuvo,2021-08-31
86,Bulgaria,EasyCredit,92.66,iuvo,2021-08-31
87,Bulgaria,EasyCredit,100.0,iuvo,2021-08-31
88,Bulgaria,EasyCredit,100.0,iuvo,2021-08-31
89,Bulgaria,EasyCredit,75.68,iuvo,2021-08-31
90,Bulgaria,EasyCredit,100.0,iuvo,2021-08-31
91,Bulgaria,EasyCredit,12.6,iuvo,2021-08-31
92,Bulgaria,AccessFinance,36.05,iuvo,2021-08-31
93,Bulgaria,EasyCredit,17.2828106184,iuvo,2021-08-31
